City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Gashua,NG,12.871,11.0482,86.77,24,39,7.99,scattered clouds
79,Kidal,ML,18.4411,1.4078,88.7,19,44,5.66,scattered clouds
80,High Prairie,CA,55.4334,-116.4858,45.7,41,92,5.84,overcast clouds
81,New Norfolk,AU,-42.7826,147.0587,59.76,65,98,1.99,overcast clouds
82,Jamestown,US,42.097,-79.2353,66.02,95,75,3.0,broken clouds
83,Rocha,UY,-34.4833,-54.3333,45.32,80,3,2.04,clear sky
84,Atuona,PF,-9.8,-139.0333,78.1,76,7,16.6,clear sky
85,Lebu,CL,-37.6167,-73.65,49.37,78,39,19.71,scattered clouds
86,Aklavik,CA,68.2191,-135.0107,32.72,81,87,5.17,overcast clouds
87,Carnarvon,AU,-24.8667,113.6333,64.47,55,4,13.8,clear sky
88,Ponta Do Sol,PT,32.6667,-17.1,70.43,67,31,6.78,scattered clouds
89,Olafsvik,IS,64.8945,-23.7142,39.4,74,70,18.9,broken clouds
90,Vila Franca Do Campo,PT,37.7167,-25.4333,73.2,86,100,4.43,overcast clouds
91,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.28,89,73,10.0,moderate rain
92,Sabang,ID,5.8933,95.3214,81.86,72,74,18.28,broken clouds
93,Tromso,NO,69.6496,18.957,53.62,58,0,3.0,clear sky
94,Awjilah,LY,29.1081,21.2869,71.11,51,0,8.19,clear sky
95,Bengkulu,ID,-3.8004,102.2655,75.29,92,100,2.75,overcast clouds
96,Constitucion,CL,-35.3333,-72.4167,51.39,80,10,11.54,clear sky
97,Punta Arenas,CL,-53.15,-70.9167,39.11,81,0,14.97,clear sky
98,Summerland,CA,49.5998,-119.6691,70.61,37,75,8.05,broken clouds
99,Murdochville,CA,48.9583,-65.5006,40.08,60,0,3.02,clear sky
100,Yulara,AU,-25.2406,130.9889,73.24,21,0,16.11,clear sky
101,Aimores,BR,-19.4958,-41.0639,74.01,63,56,6.31,broken clouds
102,Nizwa,OM,22.9333,57.5333,77.23,79,73,1.97,broken clouds
103,Xinmin,CN,41.9908,122.8253,55.65,57,100,12.21,light rain
104,Kavaratti,IN,10.5669,72.642,81.86,80,72,11.81,heavy intensity rain
105,Geraldton,AU,-28.7667,114.6,57.61,82,75,4.61,broken clouds
106,Lancaster,US,40.2504,-76.2499,71.98,87,20,3.44,few clouds
107,Torbay,CA,47.6666,-52.7314,46.27,93,90,14.97,light intensity shower rain
108,Jalu,LY,29.0331,21.5482,71.22,49,0,7.78,clear sky
109,Chatham,GB,51.3789,0.5279,59.41,92,59,3.0,broken clouds
110,Paka,MY,4.6374,103.4368,76.93,94,40,0.0,heavy intensity rain
111,Schlitz,DE,50.6742,9.561,53.04,94,99,1.32,light rain
112,Taksimo,RU,56.3444,114.8794,33.62,70,100,1.74,overcast clouds
113,Teguise,ES,29.0605,-13.564,66.42,68,20,14.97,few clouds
114,Batagay-Alyta,RU,67.8006,130.4114,19.92,68,21,3.85,few clouds
115,Sinnamary,GF,5.3833,-52.95,80.71,78,57,12.71,broken clouds
116,Picayune,US,30.5255,-89.6795,77.79,86,100,1.28,overcast clouds
117,Preobrazheniye,RU,42.9019,133.9064,52.83,52,100,6.15,overcast clouds
118,Kaitangata,NZ,-46.2817,169.8464,58.93,75,89,12.19,overcast clouds
119,San Julian,MX,21.0167,-102.1667,68.86,76,72,3.58,broken clouds
120,Peterhead,GB,57.5058,-1.7981,48.7,82,44,5.55,scattered clouds
121,Busselton,AU,-33.65,115.3333,53.04,69,100,11.18,overcast clouds
122,Egvekinot,RU,66.3167,-179.1667,28.2,97,100,11.03,snow
123,Port Augusta,AU,-32.5,137.7667,62.71,50,1,1.39,clear sky
124,Port Hawkesbury,CA,45.6169,-61.3485,51.78,77,90,5.01,overcast clouds
125,Tocopilla,CL,-22.092,-70.1979,61.05,72,24,4.94,few clouds
126,Upernavik,GL,72.7868,-56.1549,29.89,65,95,6.6,overcast clouds
127,Flinders,AU,-34.5833,150.8552,66.06,50,18,16.02,few clouds
128,Vila Velha,BR,-20.3297,-40.2925,78.75,78,0,10.36,clear sky
129,Labuhan,ID,-6.8844,112.2051,78.46,76,57,11.41,moderate rain
130,Broome,US,42.2506,-75.833,65.84,81,90,3.0,overcast clouds
131,Sao Filipe,CV,14.8961,-24.4956,80.71,80,16,6.76,few clouds
132,Mareeba,AU,-17.0,145.4333,95.32,58,64,2.82,broken clouds
133,Moyale,KE,3.5167,39.0584,71.67,58,79,14.18,broken clouds
134,Huangchuan,CN,32.1272,115.0394,64.17,81,90,11.12,overcast clouds
135,Srednekolymsk,RU,67.45,153.6833,24.26,82,87,8.63,overcast clouds
136,Airai,TL,-8.9266,125.4092,73.4,45,10,1.34,clear sky
137,Shubarkuduk,KZ,49.1447,56.4872,35.65,53,1,15.17,clear sky
138,Tiarei,PF,-17.5333,-149.3333,84.22,76,9,17.4,light rain
139,Albany,US,42.6001,-73.9662,57.81,95,100,3.56,moderate rain
140,Bandarbeyla,SO,9.4942,50.8122,78.13,85,33,21.59,scattered clouds
141,Itupiranga,BR,-5.1347,-49.3267,78.55,67,100,2.13,overcast clouds
142,Severo-Kurilsk,RU,50.6789,156.125,46.6,77,21,17.18,light rain
143,Morro Bay,US,35.3658,-120.8499,90.75,60,99,1.01,overcast clouds
144,Clyde River,CA,70.4692,-68.5914,34.52,81,97,7.11,overcast clouds
145,Nikolskoye,RU,59.7035,30.7861,44.87,87,1,9.66,clear sky
146,Iracoubo,GF,5.4802,-53.2011,81.61,75,60,13.51,broken clouds
147,Arraial Do Cabo,BR,-22.9661,-42.0278,71.64,97,70,17.92,light rain
148,Cherskiy,RU,68.75,161.3,19.78,98,95,6.6,overcast clouds
149,Ust-Maya,RU,60.4167,134.5333,33.01,67,22,4.59,few clouds
